wavelength,A18,A24,A28,D50,D55,D65,D75,D95,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,FL3.1,FL3.2,FL3.3,FL3.4,FL3.5,FL3.6,FL3.7,FL3.8,FL3.9,FL3.10,FL3.11,FL3.12,FL3.13,FL3.14,FL3.15,L-B1,L-B2,L-B3,L-B4,L-B5,L-BH1,L-RGB1,L-V1,L-V2,L-1,L-2,L-3,L-4,L-5,L-6,L-7,L-8,L-9,L-10,L-11,L-12,L-13,L-14,L-15,L-LIFX-R,L-LIFX-G,L-LIFX-B
661,0.0307381,0.0200508,0.0159984,0.00909201,0.008533,0.00779141,0.00733473,0.00868173,0.00212991,0.00228535,0.00251344,0.0028819,0.00188284,0.00199728,0.00664866,0.00943459,0.0104529,0.00151969,0.00164273,0.0018604,0.00288699,0.00426662,0.00195295,0.0158247,0.0109694,0.00979417,0.00184471,0.00160096,0.00149256,0.00354612,0.00142252,0.00824791,0.00665152,0.00641789,0.00697459,0.00814131,0.00754864,0.00537357,0.00415527,0.00339506,0.00264326,0.00419417,0.0142165,0.00966019,0.00933266,0.00452612,0.00788773,0.0113468,0.00698977,0.00663798,0.00612529,0.00612704,0.00725724,0.00399992,0.00311826,0.00308828,0.0123702,0.0095284,0.00690441,0.00469674,0.00185606,0.00298096
662,0.0310691,0.0201743,0.0160619,0.0091759,0.00857686,0.00784274,0.00738956,0.00877619,0.00207521,0.0022161,0.00243303,0.00278734,0.00183508,0.00193348,0.00649422,0.00925202,0.010174,0.00148243,0.00159959,0.00181182,0.00279381,0.00418833,0.0019024,0.0152576,0.0106996,0.00952709,0.00184092,0.00160197,0.00148782,0.00339783,0.00141996,0.00807141,0.0065058,0.00628605,0.00691204,0.00798549,0.00740834,0.0052572,0.00407033,0.00332156,0.00257201,0.00395311,0.0140666,0.00954373,0.00914575,0.00440213,0.0077008,0.0111893,0.00683349,0.006536,0.00602671,0.00598055,0.00710918,0.00389988,0.00304916,0.0030168,0.0122051,0.0094012,0.00681183,0.00439099,0.00181047,0.00285431
663,0.0314022,0.020298,0.0161252,0.00925414,0.00862048,0.00788806,0.00743994,0.00886392,0.00202182,0.00214895,0.00235478,0.00269508,0.00178911,0.00187177,0.00630315,0.00903687,0.00979752,0.00144751,0.00155867,0.00176582,0.0027037,0.00411079,0.00185363,0.01451,0.0103421,0.00917396,0.00183812,0.00160319,0.00148427,0.00319324,0.00141812,0.00789675,0.00636172,0.00615568,0.00685026,0.00783072,0.00726947,0.00514235,0.00398681,0.0032492,0.0025041,0.00373949,0.0139133,0.00942504,0.00895454,0.0042777,0.00751112,0.0110249,0.00667446,0.00643174,0.00592543,0.00583196,0.00695812,0.003799,0.00297918,0.00294461,0.0120332,0.00926859,0.00671787,0.00406749,0.0017613,0.00280512
664,0.0317375,0.0204219,0.0161885,0.0093185,0.00865908,0.00792244,0.00747966,0.00894031,0.00196986,0.00208411,0.00227908,0.00260586,0.00174446,0.00181237,0.00609986,0.00881029,0.00938976,0.00141024,0.00151445,0.00171515,0.00261634,0.00403558,0.00180651,0.0137434,0.00997257,0.00881005,0.00183419,0.0016042,0.00147944,0.0029672,0.00141556,0.00772182,0.00621801,0.0060252,0.00678703,0.00767748,0.00713147,0.00502915,0.00390492,0.00317794,0.00243913,0.00354991,0.0137569,0.00930552,0.00876437,0.00415564,0.00732343,0.0108589,0.00651703,0.00632897,0.00582458,0.00568557,0.00680823,0.00369994,0.00291039,0.00287364,0.0118595,0.00913599,0.00662467,0.00386395,0.00173454,0.00276315
665,0.032075,0.0205459,0.0162516,0.00936393,0.00868953,0.00794292,0.00750492,0.00900259,0.00191943,0.00202178,0.0022063,0.0025204,0.00170066,0.00175554,0.00590872,0.00859343,0.00901714,0.00136594,0.00146141,0.00165253,0.00253141,0.00396431,0.00176089,0.0131195,0.00966638,0.00851063,0.00182702,0.00160463,0.00147088,0.00275451,0.00141084,0.00754451,0.0060734,0.005893,0.00672012,0.00752608,0.006994,0.00491765,0.00382481,0.00310773,0.00237679,0.00338108,0.0135978,0.00918609,0.00857867,0.00403771,0.00714077,0.0106948,0.00636396,0.00622996,0.00572617,0.00554412,0.00666217,0.00360439,0.00284406,0.00280506,0.011684,0.00900336,0.00653239,0.00361255,0.00168153,0.00268961
666,0.0324147,0.0206701,0.0163145,0.00939007,0.00871161,0.00794898,0.00751536,0.00904988,0.00187036,0.00196201,0.00213643,0.0024387,0.00165757,0.00170137,0.00572011,0.0083763,0.00865698,0.00130572,0.00138766,0.00156069,0.00244865,0.00389809,0.00171692,0.0126273,0.00941998,0.00827167,0.00176229,0.00155893,0.00142666,0.00254144,0.00137731,0.00736214,0.00592635,0.00575741,0.00664828,0.00737656,0.00685719,0.00480789,0.00374649,0.00303863,0.00231672,0.00322896,0.013436,0.00906674,0.00839652,0.0039233,0.00696233,0.0105319,0.00621449,0.00613415,0.00562967,0.00540688,0.00651924,0.00351184,0.00277982,0.0027385,0.0115067,0.00887058,0.00644107,0.0033998,0.00164465,0.00271571
667,0.0327566,0.0207944,0.0163774,0.009395,0.00872448,0.00793914,0.00750949,0.00908036,0.00182247,0.00190444,0.00206901,0.00236003,0.00161545,0.0016495,0.00551749,0.00814455,0.00826431,0.00123145,0.0012949,0.00144092,0.00236812,0.00383561,0.00167458,0.0121546,0.0091817,0.00804137,0.00161711,0.00144634,0.00133423,0.00230309,0.0013034,0.00717609,0.00577772,0.00561946,0.0065728,0.00722902,0.00672109,0.00469993,0.00367,0.00297069,0.00225855,0.00308994,0.0132718,0.00894772,0.0082179,0.00381232,0.00678814,0.0103702,0.00606858,0.00604181,0.0055351,0.00527389,0.00637951,0.00342229,0.00271768,0.00267399,0.0113281,0.00873774,0.00634838,0.00323276,0.0016033,0.00263554
668,0.0331007,0.0209188,0.0164401,0.00938521,0.00872986,0.00791845,0.00749222,0.00909918,0.0017759,0.00184875,0.00200373,0.00228394,0.00157438,0.00159945,0.00531491,0.00791275,0.00787205,0.00115449,0.00119804,0.00131382,0.0022899,0.00377483,0.00163345,0.0117109,0.00895488,0.0078233,0.00143658,0.00130362,0.00122021,0.00205758,0.00121033,0.00699038,0.0056298,0.0054817,0.00649524,0.00708323,0.00658576,0.00459361,0.00359516,0.00290384,0.00220235,0.00296239,0.0131052,0.00882842,0.00804241,0.00370447,0.00661771,0.0102095,0.00592585,0.00595142,0.00544222,0.00514448,0.00624235,0.00333537,0.00265722,0.00261106,0.0111486,0.00860472,0.00625211,0.00301046,0.00155472,0.00252396
669,0.033447,0.0210434,0.0165027,0.00937167,0.00873101,0.00789532,0.00747189,0.00911506,0.00173077,0.00179462,0.00194031,0.00221004,0.00153446,0.00155071,0.00512642,0.00769547,0.00751315,0.00108625,0.00111199,0.00119995,0.00221407,0.00371368,0.00159314,0.0113058,0.00874284,0.00762107,0.00126576,0.0011675,0.00111121,0.001823,0.00111934,0.00680904,0.00548489,0.00534664,0.00641715,0.00693875,0.0064513,0.00448865,0.00352162,0.00283798,0.00214839,0.00284571,0.0129362,0.00870776,0.00786904,0.00359916,0.00644996,0.0100483,0.00578535,0.00586035,0.00535042,0.00501727,0.00610652,0.00325032,0.00259767,0.00254894,0.0109689,0.00847206,0.00615231,0.00287861,0.00152433,0.00247808
670,0.0337954,0.0211681,0.0165651,0.0093615,0.00873009,0.00787525,0.00745393,0.00913348,0.00168719,0.00174174,0.00187843,0.0021379,0.00149576,0.0015028,0.00496606,0.00750729,0.00722054,0.00103811,0.00105167,0.0011199,0.0021407,0.00365011,0.00155325,0.0109488,0.00854892,0.00743826,0.00114974,0.00107476,0.00103385,0.00161747,0.00105164,0.00663611,0.0053453,0.00521682,0.00634011,0.00679533,0.00631783,0.0043849,0.00344916,0.00277305,0.00209676,0.00273902,0.0127646,0.00858507,0.00769724,0.00349603,0.00628426,0.00988623,0.00564657,0.00576708,0.00525938,0.00489147,0.00597132,0.0031667,0.00253857,0.00248713,0.0107895,0.00834022,0.00604925,0.00271533,0.00146689,0.00241322
